"","est","se","p"
"female",2.60609785207858,4.73014324031625,0.581664264486931
"dialysis",-84.4479544705823,10.9416609511945,1.18150968728044e-14
"creat1",-12.6697490648683,2.77592880191932,5.01527614340309e-06
"creat1_dialysis",9.26311273186109,5.03769771238838,0.0659506200095842
"diabetes",-16.2186037441001,5.23814019393452,0.00195983512229031
"albumin3",5.67837684994622,3.04895092644255,0.0625462374189671
"working_lt",14.2730657544936,5.77995506063447,0.0135336912756289
"diag_HCV",-7.47817955928562,5.15331793505998,0.146741216710265
"diag_ahn",-41.7678460539668,20.9592050984684,0.0462815636081641
"diag_chol_cirr",12.5344093459681,8.44669511816335,0.137824192077669
"diag_mal_neo",-5.79372574244042,7.31373328111835,0.428261108245739
"diag_met_dis",13.0241230022681,15.2402481427781,0.392779643010425
"don_female",8.46948095724182,6.34154808411301,0.181695039951761
"don_Black",-1.93786313774541,6.31240763086313,0.758848919550118
"don_hisp",1.10811610721605,7.31480446212486,0.879589589084602
"don_Asian",-7.27074440119701,14.5380494447662,0.616991789610545
"AGE_DON00",8.23829276902299,7.26445544641765,0.256771434844022
"AGE_DON40",-18.5654929670327,5.30607344766269,0.000467157794065327
"AGE_DON60",-45.9669451914527,8.09294692941245,1.34791436942261e-08
"don_cod_anoxia",-7.44194206499083,5.55941310039929,0.180694382493136
"don_cod_cva",-16.858618293537,5.95707842728981,0.00465458954044904
"don_cod_other",-20.3643526262648,14.879390258368,0.171115534497675
"don_DCD",-80.9988228385518,10.440078858833,8.59740789743251e-15
"don_hgt1",7.66741735417431,3.23305837333457,0.017712793325781
"don_wgt1",-0.382998053969309,1.34611117818508,0.776010485368199
"don_smoke",13.1256888747794,5.3646618541633,0.0144172967988735
"don_coke",-8.76164181135907,5.7951126749349,0.130558822943742
"don_creat",-4.81447774684381,1.36460521167517,0.000418537665467168
"don_partsplit",-71.4969160629333,21.2558450450468,0.000769230504683988
"abo_mat2",-18.8821310989843,10.0887479799976,0.0612615465070017
"cmv_DposRneg",-10.7387516438677,7.35554032633278,0.14430267474227
"cmv_DposRpos",3.54973929718384,7.12730612524323,0.618450335555194
"cmv_DnegRpos",4.42435590839148,7.34300719219711,0.54682377558427
